"recseq","street","lane_count","speed_limit","radar_limit","update_date"
"1","شارع النهدة","4","80","101",""
"2","شارع دمشق","3","80","101",""
"3","شارع القدس","4","80","101",""
"4","شارع تونس","3","80","101",""
"5","شارع الشيخ خليفة","3","80","101",""
"6","شارع عمان","3","80","101",""
"7","شارع الميناء","4","80","101",""
"8","شارع بيروت","4","80","101",""
"9","شارع زعبيل الثاني","4","80","101",""
"10","شارع الشيخ زايد بن حمدان بن زايد آل نهيان","3","100","121",""
"11","شارع نفق المطار - بيروت","4","80","101",""
"12","شارع طرابلس","3","80","101",""
"13","شارع الجميرا","2","70","91",""
"14","شارع ند الشبا","2","70","91",""
"15","شارع الوصل","3","70","91",""
"16","شارع بغداد","3","70,80","91,101",""
"17","شارع أم الشيف","2","70","91",""
"18","شارع المنارة","2","70","91",""
"19","شارع الآثار","2","70","91",""
"20","شارع الثنية","2","70","91",""
"21","شارع الحديقة","3","70","91",""
"22","شارع السيف","3","70","91",""
"23","شارع العروبة","3","70","91",""
"24","شارع الأبراج","3","70","91",""
"25","شارع مسقط","3","70","91",""
"26","شارع الخيل","5","100","121",""
"27","شارع اليلايس (جبل علي الصناعية سابقاً)","2","80","101",""
"28","شارع العوير","2","100","121",""
"29","شارع الإمارات (العابر سابقاً)","6","110","131",""
"30","شارع محمد بن زايد (الإمارات سابقاً)","2","110","131",""
"31","شارع جبل علي الهباب (الكسارات)","7","60,100 ,120","91,121,91",""
"32","شارع الاتحاد","4","100","121",""
"33","شارع رأس الخور","5","100","121",""
"34","شارع الشيخ زايد","4","100,120"," 121,141",""
"35","شارع الرباط","6","100","121",""
"36","شارع الخوانيج","5","100","121",""
"37","شارع العمردي","4","100","121",""
"38","شارع الشيخ راشد","3","100","121",""
"39","شارع حتا العام","6","100","121",""
"40","شارع الخليج","4","80","101",""
"41","شارع المطار","4","80","101",""
"42","شارع ند الحمر","5","80","101",""
"43","شارع الملك سلمان (الصفوح سابقا)","3","60","81",""
"44","شارع الصفوح2 (عبدالله عمران تريم)","2","70","91",""
"45","شارع عود ميثاء","4","80,90"," 101,111",""
"46","شارع أم هرير","3","80","101",""
"47","شارع أم سقيم","4","90","111",""
"48","شارع المنخول","2","80","101",""
"49","شارع المنامة","3","80","101",""
"50","شارع الميدان","4","70,80"," 91,101",""
"51","شارع الدار البيضاء","4","70","91",""
"52","شارع حصة","5","80","101",""
"53","شارع المفرق","3","70","91",""
"54","شارع دبي المالي","5","80","101",""
"55","شارع القدرة","2","90","111",""
"56","شارع الجزائر","3","80","101",""
"57","شارع تونس","3","80","101",""
"58","شارع دبي العين","4","100,120"," 121,141",""
"59","شارع الاصايل","3","70,80","91,101",""
"60","شارع قرن السبخة","3","80","101",""
"61","شارع نخلة جميرا","2","60","91",""
"62","شارع سيح شعيب ","3","80","101",""
